szakasz;ido;nev;nemzetiseg;csapat
1;4:12:34;Dupont Marcel;FRA;TEAM ARKEA - SAMSIC
1;4:12:34;Rossi Luca;ITA;TREK - SEGAFREDO
1;4:12:45;Van Den Berg Pieter;NED;JUMBO - VISMA
1;4:13:01;García Tomás;SPA;CAJA RURAL - SEGUROS RGA
1;4:13:15;Müller Hans;GER;ALPECIN - FENIX
1;4:13:22;Kowalski Piotr;POL;CCC TEAM
1;4:13:45;Roglic Primoz;SLO;JUMBO - VISMA
1;4:14:02;Bernal Egan;COL;INEOS GRENADIERS
1;4:14:18;Nibali Vincenzo;ITA;TREK - SEGAFREDO
1;4:14:33;Alaphilippe Julian;FRA;DECEUNINCK - QUICK STEP
1;4:15:00;Pogacar Tadej;SLO;UAE TEAM EMIRATES
1;4:15:12;Evenepoel Remco;BEL;DECEUNINCK - QUICK STEP
1;4:15:34;Vingegaard Jonas;DEN;JUMBO - VISMA
1;4:15:50;Carapaz Richard;ECU;INEOS GRENADIERS
1;4:16:04;Kruijswijk Steven;NED;JUMBO - VISMA
1;4:16:22;Kelderman Wilco;NED;BORA - HANSGROHE
1;4:16:45;Buchmann Emanuel;GER;BORA - HANSGROHE
1;4:17:03;Fuglsang Jakob;DEN;ASTANA - PREMIER TECH
1;4:17:19;Lopez Miguel Angel;COL;ASTANA - PREMIER TECH
1;4:17:38;Vlasov Aleksandr;RUS;BORA - HANSGROHE
1;4:17:55;Ciccone Giulio;ITA;TREK - SEGAFREDO
1;4:18:10;Lutsenko Alexey;KAZ;ASTANA - PREMIER TECH
1;4:18:27;Formolo Davide;ITA;UAE TEAM EMIRATES
1;4:18:44;Jorgenson Matteo;USA;MOVISTAR TEAM
1;4:19:01;Higuita Sergio;COL;BORA - HANSGROHE
1;4:19:20;Bilbao Pello;SPA;BAHRAIN - VICTORIOUS
1;4:19:38;Gall Felix;AUT;AG2R CITROEN TEAM
1;4:19:55;Gaudu David;FRA;GROUPAMA - FDJ
1;4:20:11;Pinot Thibaut;FRA;GROUPAMA - FDJ
1;4:20:30;Martinez Emanuel;COL;COFIDIS
2;3:45:12;Cavendish Mark;GBR;DECEUNINCK - QUICK STEP
2;3:45:12;Ewan Caleb;AUS;LOTTO SOUDAL
2;3:45:12;Sagan Peter;SVK;BORA - HANSGROHE
2;3:45:12;Greipel Andre;GER;ISRAEL START-UP NATION
2;3:45:12;Viviani Elia;ITA;COFIDIS
2;3:45:12;Kristoff Alexander;NOR;UAE TEAM EMIRATES
2;3:45:12;Groenewegen Dylan;NED;JUMBO - VISMA
2;3:45:12;Jakobsen Fabio;NED;DECEUNINCK - QUICK STEP
2;3:45:23;Mezgec Luka;SLO;TEAM BIKEEXCHANGE
2;3:45:34;Trentin Matteo;ITA;UAE TEAM EMIRATES
2;3:45:45;Colbrelli Sonny;ITA;BAHRAIN - VICTORIOUS
2;3:45:56;Van Aert Wout;BEL;JUMBO - VISMA
2;3:46:10;Dupont Marcel;FRA;TEAM ARKEA - SAMSIC
2;3:46:22;García Tomás;SPA;CAJA RURAL - SEGUROS RGA
2;3:46:35;Müller Hans;GER;ALPECIN - FENIX
2;3:46:48;Kowalski Piotr;POL;CCC TEAM
2;3:47:01;Roglic Primoz;SLO;JUMBO - VISMA
2;3:47:15;Alaphilippe Julian;FRA;DECEUNINCK - QUICK STEP
2;3:47:30;Nibali Vincenzo;ITA;TREK - SEGAFREDO
2;3:47:44;Evenepoel Remco;BEL;DECEUNINCK - QUICK STEP
2;3:48:00;Pogacar Tadej;SLO;UAE TEAM EMIRATES
2;3:48:15;Bernal Egan;COL;INEOS GRENADIERS
2;3:48:30;Vingegaard Jonas;DEN;JUMBO - VISMA
2;3:48:45;Carapaz Richard;ECU;INEOS GRENADIERS
2;3:49:00;Fuglsang Jakob;DEN;ASTANA - PREMIER TECH
2;3:49:18;Kruijswijk Steven;NED;JUMBO - VISMA
2;3:49:35;Lopez Miguel Angel;COL;ASTANA - PREMIER TECH
2;3:49:52;Kelderman Wilco;NED;BORA - HANSGROHE
2;3:50:10;Buchmann Emanuel;GER;BORA - HANSGROHE
2;3:50:28;Gaudu David;FRA;GROUPAMA - FDJ
3;3:58:12;Dupont Marcel;FRA;TEAM ARKEA - SAMSIC
3;3:58:12;Rossi Luca;ITA;TREK - SEGAFREDO
3;3:59:04;Van Den Berg Pieter;NED;JUMBO - VISMA
3;3:59:04;García Tomás;SPA;CAJA RURAL - SEGUROS RGA
3;4:00:31;Müller Hans;GER;ALPECIN - FENIX
3;4:00:45;Kowalski Piotr;POL;CCC TEAM
3;4:01:02;Roglic Primoz;SLO;JUMBO - VISMA
