kozterulet;hosszusag;szelesseg;funkcio
Tengelic dűlő;1,9;1,2;kamra
Mozsár utca;2,4;2,7;erkély
Múzeum utca;3,4;4,9;fürdőszoba
Malvin utca;1,2;1;WC
Ráchegy utca;4,1;5,6;nappali
Havasigyopár utca;4;2,3;háló
Tölgy utca;3,2;3,8;gardrób
Pemetefű utca;4;2,6;fürdőszoba
Hungária utca;2,8;2,2;gardrób
Veres utca;1;1,2;WC
Nyárád utca;4,2;3,7;fürdőszoba
Cser utca;3,5;2,8;háló
Dinnyés utca;4;4,7;háló
Szélpart utca;4,3;3,3;háló
Dalos utca;4;2,5;konyha
Bartók Béla tér;4,2;3,8;háló
Völgyalja utca;2,3;2,9;dolgozószoba
Zsák utca;2,7;3,5;háló
Nyugati sor;2,6;3,9;kamra
Pipóhegy utca;4,2;4,5;háló
Tímár utca;2,1;2,3;gardrób
Kisfenyves utca;2,8;3,3;fürdőszoba
Kisvasút sor;4,1;3;háló
Limány köz;1,4;1,3;WC
Turul utca;2,9;2,7;háló
Bulcsú utca;4,2;3,3;háló
Dohánykert utca;3,5;2,7;háló
Gyimesi utca;1,2;1,6;WC
Keszeg utca;2,7;2,6;háló
Szoboszlói út;2,6;3;dolgozószoba
Rózsástelep utca;2,2;2,7;fürdőszoba
Kontyvirág utca;2,1;2,2;háló
Torma utca;3,6;3,8;háló
Lámpás utca;1,9;2,2;erkély
Károli Gáspár utca;3,9;3,6;háló
Almagyar köz;1,5;1,3;WC
Szentháromság utca;3,6;4,7;fürdőszoba
Kard utca;2,7;2,6;gardrób
Csemete utca;2,1;2,7;konyha
Harasztos köz;2;3,2;fürdőszoba
Koszorú utca;2,7;3,5;fürdőszoba
Körtvélyes utca;1,9;1,6;erkély
Ezüstfa utca;2,1;3,4;fürdőszoba
Kisfaludy Sándor út;2,3;4;dolgozószoba
Péchy utca;3,6;2,5;gardrób
Gyevi utca;0,9;0,9;kamra
Faraktár utca;6,1;6;nappali
Fűzfa utca;1;1,2;WC
Kapisztrán út;2,2;2,6;konyha
Tas utca;2,4;3,7;háló
Ajtony köz;2,7;3,8;dolgozószoba
Hegedű utca;1,1;1,2;WC
Rózsamajor köz;2,4;2,8;háló
Pinty utca;3,6;4;háló
Szilvásújfalvi utca;2,8;2,2;erkély
Harmat utca;2,1;4,5;háló
Legátus utca;4,1;2,1;háló
Vályogos utca;1,6;1,7;WC
Cséplő utca;1,2;1,5;WC
Géza utca;1,9;1,1;WC
Szilánk köz;3,2;2,9;kamra
Öreghegy utca;1,3;1,2;WC
Szalonka utca;2;1,2;erkély
Balzsamfű utca;4,7;3,4;háló
Barcaság utca;2;1,7;WC
Józsakert utca;1,5;1;WC
Cserfa utca;4,8;5,1;nappali
Liget utca;2,1;2,5;háló
Szikigyakor utca;5,6;4,4;nappali
Május 1. utca;1,2;1,1;WC
Ungvár utca;2,6;2,7;háló
Kisfenyves utca;4,5;2,5;fürdőszoba
Nyugati sor;1,5;1,1;WC
Szilágyság utca;2,6;2,6;fürdőszoba
Mocsáry Lajos utca;2,6;2,3;erkély
Harangos utca;1,8;2,7;erkély
Benczúr Gyula utca;5;4,1;nappali
Káliz utca;2,7;2;fürdőszoba
Bacsó Béla utca;3,3;3,7;háló
Petresi utca;2,7;2,3;háló
Lakatgyár utca;4,4;4,5;háló
Olasz utca;3;3,7;konyha
Várad utca;2,8;3,1;háló
Basahíd utca;2,7;3,8;háló
Kisbánya utca;1,1;1,5;kamra
Ostoros utca;1,7;1,4;WC
Halastó utca;0,9;0,8;kamra
Veres utca;3,3;2,6;fürdőszoba
Piac utca;2,5;3,2;konyha
Késmárk utca;4,2;4,9;nappali
Várad utca;2,9;3,3;dolgozószoba
Medok utca;3,6;4,6;háló
Vértanú utca;4,2;6;nappali
Vaskapu utca;2,7;2,5;konyha
Acél utca;3,6;2,5;terasz
Fogarasi utca;4,6;3,8;nappali
Vigadó tér;5,9;2,8;konyha
Verőszala utca;5;4,5;háló
Öreghegyi utca;2,8;2,9;fürdőszoba
Kadét utca;2,3;2;gardrób
Nyárád utca;5,2;5,7;konyha
Bognár utca;4,5;4,8;fürdőszoba
Cserfa utca;2,4;2,9;konyha
Gombvirág utca;4;4,5;háló
Lant utca;2,4;3,4;háló
Völgyérhát utca;2,7;3,9;fürdőszoba
Szigony utca;4;3,8;háló
Honvéd utca;2,4;2,3;fürdőszoba
Dáni utca;2,4;2,4;erkély
Telep utca;1,7;2,7;erkély
Acél utca;2,2;3,7;mosókonyha
Csörsz utca;3,4;2,7;dolgozószoba
Tóparti út;3,9;3,8;háló
Hegedű utca;2,5;2,5;fürdőszoba
Gesztenyési út;3,4;4,9;háló
Veres utca;2,9;1,5;erkély
